VehicleId,brand + Model,MPGe,MPG,HP,drivetrain,cost_vehicle,cost_fuel,cost_maintenance,emit_vehicleprod,emit_batteryprod,emit_fuelprod,emit_fuelcons,Brands,Brandsid
36914,Porsche 718 Spyder Auto,-1,20,414.0,RWD,882.0,190.0,153.0,37.1,,105.0,427.0,Porsche,38
36915,Porsche 718 Cayman GTS Manual,-1,20,394.0,RWD,762.0,197.0,141.0,36.2,,108.0,442.0,Porsche,38
36916,Porsche 718 Cayman GTS Auto,-1,21,394.0,RWD,794.0,184.0,145.0,36.8,,101.0,413.0,Porsche,38
36917,Porsche 718 Cayman GT Manual,-1,19,414.0,RWD,879.0,200.0,153.0,36.6,,110.0,449.0,Porsche,38
36918,Porsche 718 Cayman GT Auto,-1,20,414.0,RWD,908.0,190.0,156.0,37.1,,105.0,427.0,Porsche,38
36919,Nissan NV200 Cargo Van,-1,25,131.0,FWD,206.0,120.0,85.1,37.1,,85.4,348.0,Nissan,35
36920,Ford Expedition 2WD,-1,19,375.0,RWD,439.0,155.0,109.0,54.8,,110.0,449.0,Ford,14
36923,Lincoln Navigator 2WD,-1,18,450.0,RWD,669.0,163.0,132.0,56.7,,116.0,474.0,Lincoln,27
36924,Lincoln Navigator L 2WD,-1,18,450.0,RWD,748.0,166.0,140.0,58.1,,118.0,482.0,Lincoln,27
36925,Cadillac Escalade 4WD Diesel,-1,22,277.0,AWD,706.0,142.0,136.0,55.7,,86.5,398.0,Cadillac,8
36927,Chevrolet Tahoe 4WD Diesel 3.0L,-1,22,277.0,AWD,476.0,142.0,112.0,58.1,,86.5,398.0,Chevrolet,9
36928,Chevrolet Suburban 4WD Diesel 3.0L,-1,22,277.0,AWD,500.0,142.0,115.0,59.5,,86.5,398.0,Chevrolet,9
36929,Ford Expedition 4WD,-1,19,375.0,AWD,466.0,157.0,111.0,56.9,,112.0,457.0,Ford,14
36931,GMC Yukon XL 4WD Diesel 3.0L,-1,22,277.0,AWD,504.0,142.0,115.0,59.1,,86.5,398.0,GMC,15
36934,GMC Yukon 4WD Diesel 3.0L,-1,22,277.0,AWD,480.0,142.0,113.0,56.3,,86.5,398.0,GMC,15
36935,Lincoln Navigator 4WD,-1,18,450.0,AWD,692.0,170.0,134.0,58.8,,121.0,492.0,Lincoln,27
36936,Ford Mustang Mach-E AWD,93,-1,266.0,AWD,334.0,41.9,69.8,38.3,34.0,159.0,,Ford,14
36937,Ford Mustang Mach-E AWD Extended,90,-1,346.0,AWD,380.0,43.3,72.9,38.9,44.0,164.0,,Ford,14
36938,Ford Mustang Mach-E RWD,99,-1,266.0,RWD,311.0,39.3,68.2,36.7,34.0,149.0,,Ford,14
36939,Ford Mustang Mach-E RWD Extended,97,-1,290.0,RWD,356.0,40.1,71.3,37.2,44.0,152.0,,Ford,14
36940,Karma GS-6 (21-inch wheels),70,26,536.0,RWD,736.0,81.0,139.0,47.8,21.2,185.0,67.5,Karma,22
36942,Ford GT,-1,14,660.0,RWD,4388.0,273.0,508.0,37.8,,150.0,612.0,Ford,14
36943,BMW 230i xDrive Convertible,-1,24,248.0,AWD,385.0,159.0,103.0,41.6,,87.4,357.0,BMW,4
36946,Alfa Romeo Giulia 2.9L,-1,20,505.0,RWD,656.0,194.0,131.0,41.5,,107.0,436.0,Alfa,1
36948,Hyundai Elantra Hybrid Blue,-1,54,139.0,FWD,207.0,54.9,85.1,34.0,39.1,39.1,161.0,Hyundai,18
36949,Ford F150 2WD HEV,-1,25,430.0,RWD,362.0,117.0,101.0,45.9,1.1,83.4,341.0,Ford,14
36950,Ford Ranger 2WD,-1,23,270.0,RWD,218.0,130.0,86.2,42.4,,92.3,377.0,Ford,14
36951,Ford F150 4WD Diesel 3.0L,-1,23,250.0,AWD,372.0,140.0,102.0,49.9,,85.2,392.0,Ford,14
36954,Mercedes-Benz Metris (Passenger Van),-1,20,208.0,RWD,323.0,191.0,96.9,46.4,,105.0,427.0,Mercedes-Benz,33
36956,Mercedes-Benz Metris (Cargo Van),-1,21,208.0,RWD,286.0,184.0,93.2,44.0,,101.0,413.0,Mercedes-Benz,33
36958,Alfa Romeo Stelvio AWD 2.9L,-1,19,505.0,AWD,709.0,200.0,136.0,45.6,,110.0,449.0,Alfa,1
36959,Porsche Macan,-1,21,248.0,AWD,457.0,187.0,110.0,43.8,,103.0,420.0,Porsche,38
